"Major","AcademicYear","StudentId"
" Computer Science",2024,228
"Economics & Finance",2024,129
"Accounting",2024,117
" Computer Science",2021,111
" Computer Science",2020,92
"Communication",2024,84
" Computer Science",2019,68
"Art History",2024,61
"Economics & Finance",2021,61
" Computer Science",2023,53
"Accounting",2020,44
"Accounting",2021,43
"Biology",2024,42
"Economics & Finance",2020,41
"Communication",2019,38
"Accounting",2019,36
" Computer Science",2022,35
"Communication",2021,34
"Economics & Finance",2023,34
"Economics & Finance",2019,33
"Art History",2021,27
"Communication",2023,24
"Economics & Finance",2022,23
"Accounting",2023,22
"Communication",2020,21
"Art History",2019,20
"Art History",2020,20
"Biology",2021,20
"Biology",2019,18
"Accounting",2022,16
"Biology",2020,16
"Communication",2022,13
"Art History",2023,12
"Biology",2023,12
"Art History",2022,10
"Biology",2022,3
